127.0.0.1, 2015-11-28 16:42:27, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000515
127.0.0.1, 2015-11-28 16:42:33, POST, /welcome/default/user/login, HTTP/1.1, 200, 0.023263
127.0.0.1, 2015-11-28 16:42:33, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000552
127.0.0.1, 2015-11-28 16:42:39, POST, /welcome/default/user/login, HTTP/1.1, 200, 0.023137
127.0.0.1, 2015-11-28 16:42:39, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000455
127.0.0.1, 2015-11-28 16:42:45, GET, /admin/default/site, HTTP/1.1, 200, 0.077371
127.0.0.1, 2015-11-28 16:42:45, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.000346
127.0.0.1, 2015-11-28 16:49:05, POST, /admin/default/site, HTTP/1.1, 303, 0.039723
127.0.0.1, 2015-11-28 16:49:05, GET, /admin/default/design/hello_world, HTTP/1.1, 200, 0.055780
127.0.0.1, 2015-11-28 16:49:05, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.000401
127.0.0.1, 2015-11-28 16:49:05, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.000236
127.0.0.1, 2015-11-28 16:49:05, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.000243
127.0.0.1, 2015-11-28 16:49:05, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.000223
127.0.0.1, 2015-11-28 16:49:05, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.000332
127.0.0.1, 2015-11-28 16:49:06, GET, /admin/static/images/folder_sm.png, HTTP/1.1, 200, 0.000383
127.0.0.1, 2015-11-28 16:51:14, GET, /admin/default/twitter.load, HTTP/1.1, 200, 509.051531
127.0.0.1, 2015-11-28 17:02:31, GET, /admin/default/edit/hello_world/controllers/default.py, HTTP/1.1, 200, 0.023397
127.0.0.1, 2015-11-28 17:02:31, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.000485
127.0.0.1, 2015-11-28 17:02:41, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.022731
127.0.0.1, 2015-11-28 17:04:41, POST, /admin/default/edit/hello_world/controllers/default.py, HTTP/1.1, 200, 0.023704
127.0.0.1, 2015-11-28 17:04:54, GET, /admin/default/design/hello_world, HTTP/1.1, 200, 0.061883
127.0.0.1, 2015-11-28 17:04:54, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.000443
127.0.0.1, 2015-11-28 17:05:39, GET, /admin/default/edit/hello_world/views/default/index.html, HTTP/1.1, 200, 0.029384
127.0.0.1, 2015-11-28 17:05:39, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.000327
127.0.0.1, 2015-11-28 17:05:39, GET, /admin/static/edit_area/reg_syntax/html.js, HTTP/1.1, 200, 0.000353
127.0.0.1, 2015-11-28 17:05:39, GET, /admin/static/edit_area/plugins/zencoding/zencoding.js, HTTP/1.1, 200, 0.000526
127.0.0.1, 2015-11-28 17:05:39, GET, /admin/static/edit_area/plugins/zencoding/langs/en.js, HTTP/1.1, 200, 0.000405
127.0.0.1, 2015-11-28 17:05:39, GET, /admin/static/edit_area/plugins/zencoding/core.js, HTTP/1.1, 200, 0.000547
127.0.0.1, 2015-11-28 17:05:49, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.015240
127.0.0.1, 2015-11-28 17:06:39, POST, /admin/default/edit/hello_world/views/default/index.html, HTTP/1.1, 200, 0.020233
127.0.0.1, 2015-11-28 17:06:54, GET, /admin/default/design/hello_world, HTTP/1.1, 200, 0.059575
127.0.0.1, 2015-11-28 17:06:55, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.000509
127.0.0.1, 2015-11-28 17:07:10, GET, /hello_world/default/index, HTTP/1.1, 200, 0.940382
127.0.0.1, 2015-11-28 17:07:38, GET, /admin/default/design/hello_world, HTTP/1.1, 200, 0.051454
127.0.0.1, 2015-11-28 17:08:57, GET, /hello_world/default/index, HTTP/1.1, 200, 0.010887
127.0.0.1, 2015-11-28 17:10:08, GET, /hello_world/default/index.html, HTTP/1.1, 200, 0.010713
127.0.0.1, 2015-11-28 17:10:18, GET, /hello_world/default/index.xml, HTTP/1.1, 200, 0.012957
127.0.0.1, 2015-11-28 17:10:30, GET, /hello_world/default/index.json, HTTP/1.1, 200, 0.027582
127.0.0.1, 2015-11-28 17:29:00, GET, /, HTTP/1.1, 303, 0.000723
127.0.0.1, 2015-11-28 17:29:00, GET, /welcome/default/index, HTTP/1.1, 200, 0.038707
127.0.0.1, 2015-11-28 17:29:00, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000462
127.0.0.1, 2015-11-28 17:29:04, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.015212
127.0.0.1, 2015-11-28 17:29:04, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000327
127.0.0.1, 2015-11-28 17:29:07, POST, /welcome/default/user/login, HTTP/1.1, 200, 0.028824
127.0.0.1, 2015-11-28 17:29:07, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000514
127.0.0.1, 2015-11-28 17:29:16, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.096540
127.0.0.1, 2015-11-28 17:29:16, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.000437
127.0.0.1, 2015-11-28 17:29:27, GET, /admin/default/index, HTTP/1.1, 303, 0.003420
127.0.0.1, 2015-11-28 17:29:27, GET, /admin/default/site, HTTP/1.1, 200, 0.026790
127.0.0.1, 2015-11-28 17:29:27, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.000436
127.0.0.1, 2015-11-28 17:29:46, GET, /admin/default/pack/admin, HTTP/1.1, 200, 0.019190
127.0.0.1, 2015-11-28 17:30:10, GET, /admin/default/pack/hello_world, HTTP/1.1, 303, 0.006286
127.0.0.1, 2015-11-28 17:30:10, GET, /admin/default/index, HTTP/1.1, 200, 0.022736
127.0.0.1, 2015-11-28 17:30:10, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.000441
127.0.0.1, 2015-11-28 17:30:14, POST, /admin/default/index, HTTP/1.1, 303, 0.016127
127.0.0.1, 2015-11-28 17:30:14, GET, /admin/default/pack/hello_world, HTTP/1.1, 200, 0.051214
127.0.0.1, 2015-11-28 17:37:57, GET, /admin/default/twitter.load, HTTP/1.1, 200, 509.006004
